sample_id,condition,reviewer_id,original_label_still_valid,text_readable,text_too_obvious,text_completely_invisible,critical_damage_obscured,news_layout_plausible,camouflage_plausible,image_usable,approve,notes
hurricane_maria__912295059315404800__912295059315404800_0,misleading_joint,,,,,,,,,,,
srilanka_floods__870553882992164864__870553882992164864_0,clean,,,,,,,,,,,
srilanka_floods__870553882992164864__870553882992164864_0,benign_image,,,,,,,,,,,
srilanka_floods__870553882992164864__870553882992164864_0,benign_text,,,,,,,,,,,
srilanka_floods__870553882992164864__870553882992164864_0,benign_joint,,,,,,,,,,,
srilanka_floods__870553882992164864__870553882992164864_0,direct_image,,,,,,,,,,,
srilanka_floods__870553882992164864__870553882992164864_0,direct_text,,,,,,,,,,,
srilanka_floods__870553882992164864__870553882992164864_0,direct_joint,,,,,,,,,,,
srilanka_floods__870553882992164864__870553882992164864_0,misleading_image,,,,,,,,,,,
srilanka_floods__870553882992164864__870553882992164864_0,misleading_text,,,,,,,,,,,
srilanka_floods__870553882992164864__870553882992164864_0,misleading_joint,,,,,,,,,,,
hurricane_harvey__907383711246770176__907383711246770176_0,clean,,,,,,,,,,,
hurricane_harvey__907383711246770176__907383711246770176_0,benign_image,,,,,,,,,,,
hurricane_harvey__907383711246770176__907383711246770176_0,benign_text,,,,,,,,,,,
hurricane_harvey__907383711246770176__907383711246770176_0,benign_joint,,,,,,,,,,,
hurricane_harvey__907383711246770176__907383711246770176_0,direct_image,,,,,,,,,,,
hurricane_harvey__907383711246770176__907383711246770176_0,direct_text,,,,,,,,,,,
hurricane_harvey__907383711246770176__907383711246770176_0,direct_joint,,,,,,,,,,,
hurricane_harvey__907383711246770176__907383711246770176_0,misleading_image,,,,,,,,,,,
hurricane_harvey__907383711246770176__907383711246770176_0,misleading_text,,,,,,,,,,,
hurricane_harvey__907383711246770176__907383711246770176_0,misleading_joint,,,,,,,,,,,
california_wildfires__920569455759056896__920569455759056896_0,clean,,,,,,,,,,,
california_wildfires__920569455759056896__920569455759056896_0,benign_image,,,,,,,,,,,
california_wildfires__920569455759056896__920569455759056896_0,benign_text,,,,,,,,,,,
california_wildfires__920569455759056896__920569455759056896_0,benign_joint,,,,,,,,,,,
california_wildfires__920569455759056896__920569455759056896_0,direct_image,,,,,,,,,,,
california_wildfires__920569455759056896__920569455759056896_0,direct_text,,,,,,,,,,,
california_wildfires__920569455759056896__920569455759056896_0,direct_joint,,,,,,,,,,,
california_wildfires__920569455759056896__920569455759056896_0,misleading_image,,,,,,,,,,,
california_wildfires__920569455759056896__920569455759056896_0,misleading_text,,,,,,,,,,,
california_wildfires__920569455759056896__920569455759056896_0,misleading_joint,,,,,,,,,,,
hurricane_irma__909387523461349378__909387523461349378_0,clean,,,,,,,,,,,
hurricane_irma__909387523461349378__909387523461349378_0,benign_image,,,,,,,,,,,
hurricane_irma__909387523461349378__909387523461349378_0,benign_text,,,,,,,,,,,
hurricane_irma__909387523461349378__909387523461349378_0,benign_joint,,,,,,,,,,,
hurricane_irma__909387523461349378__909387523461349378_0,direct_image,,,,,,,,,,,
hurricane_irma__909387523461349378__909387523461349378_0,direct_text,,,,,,,,,,,
hurricane_irma__909387523461349378__909387523461349378_0,direct_joint,,,,,,,,,,,
hurricane_irma__909387523461349378__909387523461349378_0,misleading_image,,,,,,,,,,,
hurricane_irma__909387523461349378__909387523461349378_0,misleading_text,,,,,,,,,,,
hurricane_irma__909387523461349378__909387523461349378_0,misleading_joint,,,,,,,,,,,
hurricane_harvey__909938076423675905__909938076423675905_0,clean,,,,,,,,,,,
hurricane_harvey__909938076423675905__909938076423675905_0,benign_image,,,,,,,,,,,
hurricane_harvey__909938076423675905__909938076423675905_0,benign_text,,,,,,,,,,,
hurricane_harvey__909938076423675905__909938076423675905_0,benign_joint,,,,,,,,,,,
hurricane_harvey__909938076423675905__909938076423675905_0,direct_image,,,,,,,,,,,
hurricane_harvey__909938076423675905__909938076423675905_0,direct_text,,,,,,,,,,,
hurricane_harvey__909938076423675905__909938076423675905_0,direct_joint,,,,,,,,,,,
hurricane_harvey__909938076423675905__909938076423675905_0,misleading_image,,,,,,,,,,,
hurricane_harvey__909938076423675905__909938076423675905_0,misleading_text,,,,,,,,,,,
hurricane_harvey__909938076423675905__909938076423675905_0,misleading_joint,,,,,,,,,,,
hurricane_maria__923012116763762688__923012116763762688_0,clean,,,,,,,,,,,
hurricane_maria__923012116763762688__923012116763762688_0,benign_image,,,,,,,,,,,
hurricane_maria__923012116763762688__923012116763762688_0,benign_text,,,,,,,,,,,
hurricane_maria__923012116763762688__923012116763762688_0,benign_joint,,,,,,,,,,,
hurricane_maria__923012116763762688__923012116763762688_0,direct_image,,,,,,,,,,,
hurricane_maria__923012116763762688__923012116763762688_0,direct_text,,,,,,,,,,,
hurricane_maria__923012116763762688__923012116763762688_0,direct_joint,,,,,,,,,,,
hurricane_maria__923012116763762688__923012116763762688_0,misleading_image,,,,,,,,,,,
hurricane_maria__923012116763762688__923012116763762688_0,misleading_text,,,,,,,,,,,
hurricane_maria__923012116763762688__923012116763762688_0,misleading_joint,,,,,,,,,,,
hurricane_maria__913549726083141632__913549726083141632_2,clean,,,,,,,,,,,
hurricane_maria__913549726083141632__913549726083141632_2,benign_image,,,,,,,,,,,
hurricane_maria__913549726083141632__913549726083141632_2,benign_text,,,,,,,,,,,
hurricane_maria__913549726083141632__913549726083141632_2,benign_joint,,,,,,,,,,,
hurricane_maria__913549726083141632__913549726083141632_2,direct_image,,,,,,,,,,,
hurricane_maria__913549726083141632__913549726083141632_2,direct_text,,,,,,,,,,,
hurricane_maria__913549726083141632__913549726083141632_2,direct_joint,,,,,,,,,,,
hurricane_maria__913549726083141632__913549726083141632_2,misleading_image,,,,,,,,,,,
hurricane_maria__913549726083141632__913549726083141632_2,misleading_text,,,,,,,,,,,
hurricane_maria__913549726083141632__913549726083141632_2,misleading_joint,,,,,,,,,,,
hurricane_maria__910571114803363840__910571114803363840_2,clean,,,,,,,,,,,
hurricane_maria__910571114803363840__910571114803363840_2,benign_image,,,,,,,,,,,
hurricane_maria__910571114803363840__910571114803363840_2,benign_text,,,,,,,,,,,
hurricane_maria__910571114803363840__910571114803363840_2,benign_joint,,,,,,,,,,,
hurricane_maria__910571114803363840__910571114803363840_2,direct_image,,,,,,,,,,,
hurricane_maria__910571114803363840__910571114803363840_2,direct_text,,,,,,,,,,,
hurricane_maria__910571114803363840__910571114803363840_2,direct_joint,,,,,,,,,,,
hurricane_maria__910571114803363840__910571114803363840_2,misleading_image,,,,,,,,,,,
hurricane_maria__910571114803363840__910571114803363840_2,misleading_text,,,,,,,,,,,
hurricane_maria__910571114803363840__910571114803363840_2,misleading_joint,,,,,,,,,,,
hurricane_harvey__904914448099495936__904914448099495936_0,clean,,,,,,,,,,,
hurricane_harvey__904914448099495936__904914448099495936_0,benign_image,,,,,,,,,,,
hurricane_harvey__904914448099495936__904914448099495936_0,benign_text,,,,,,,,,,,
hurricane_harvey__904914448099495936__904914448099495936_0,benign_joint,,,,,,,,,,,
hurricane_harvey__904914448099495936__904914448099495936_0,direct_image,,,,,,,,,,,
hurricane_harvey__904914448099495936__904914448099495936_0,direct_text,,,,,,,,,,,
hurricane_harvey__904914448099495936__904914448099495936_0,direct_joint,,,,,,,,,,,
hurricane_harvey__904914448099495936__904914448099495936_0,misleading_image,,,,,,,,,,,
hurricane_harvey__904914448099495936__904914448099495936_0,misleading_text,,,,,,,,,,,
hurricane_harvey__904914448099495936__904914448099495936_0,misleading_joint,,,,,,,,,,,
hurricane_maria__929456086737854464__929456086737854464_3,clean,,,,,,,,,,,
hurricane_maria__929456086737854464__929456086737854464_3,benign_image,,,,,,,,,,,
hurricane_maria__929456086737854464__929456086737854464_3,benign_text,,,,,,,,,,,
hurricane_maria__929456086737854464__929456086737854464_3,benign_joint,,,,,,,,,,,
hurricane_maria__929456086737854464__929456086737854464_3,direct_image,,,,,,,,,,,
hurricane_maria__929456086737854464__929456086737854464_3,direct_text,,,,,,,,,,,
hurricane_maria__929456086737854464__929456086737854464_3,direct_joint,,,,,,,,,,,
hurricane_maria__929456086737854464__929456086737854464_3,misleading_image,,,,,,,,,,,
hurricane_maria__929456086737854464__929456086737854464_3,misleading_text,,,,,,,,,,,
hurricane_maria__929456086737854464__929456086737854464_3,misleading_joint,,,,,,,,,,,
srilanka_floods__870182877706715139__870182877706715139_2,clean,,,,,,,,,,,
srilanka_floods__870182877706715139__870182877706715139_2,benign_image,,,,,,,,,,,
srilanka_floods__870182877706715139__870182877706715139_2,benign_text,,,,,,,,,,,
srilanka_floods__870182877706715139__870182877706715139_2,benign_joint,,,,,,,,,,,
srilanka_floods__870182877706715139__870182877706715139_2,direct_image,,,,,,,,,,,
srilanka_floods__870182877706715139__870182877706715139_2,direct_text,,,,,,,,,,,
srilanka_floods__870182877706715139__870182877706715139_2,direct_joint,,,,,,,,,,,
srilanka_floods__870182877706715139__870182877706715139_2,misleading_image,,,,,,,,,,,
srilanka_floods__870182877706715139__870182877706715139_2,misleading_text,,,,,,,,,,,
srilanka_floods__870182877706715139__870182877706715139_2,misleading_joint,,,,,,,,,,,
iraq_iran_earthquake__930042585770536960__930042585770536960_0,clean,,,,,,,,,,,
iraq_iran_earthquake__930042585770536960__930042585770536960_0,benign_image,,,,,,,,,,,
iraq_iran_earthquake__930042585770536960__930042585770536960_0,benign_text,,,,,,,,,,,
iraq_iran_earthquake__930042585770536960__930042585770536960_0,benign_joint,,,,,,,,,,,
iraq_iran_earthquake__930042585770536960__930042585770536960_0,direct_image,,,,,,,,,,,
iraq_iran_earthquake__930042585770536960__930042585770536960_0,direct_text,,,,,,,,,,,
iraq_iran_earthquake__930042585770536960__930042585770536960_0,direct_joint,,,,,,,,,,,
iraq_iran_earthquake__930042585770536960__930042585770536960_0,misleading_image,,,,,,,,,,,
iraq_iran_earthquake__930042585770536960__930042585770536960_0,misleading_text,,,,,,,,,,,
iraq_iran_earthquake__930042585770536960__930042585770536960_0,misleading_joint,,,,,,,,,,,
hurricane_irma__909484113639305216__909484113639305216_0,clean,,,,,,,,,,,
hurricane_irma__909484113639305216__909484113639305216_0,benign_image,,,,,,,,,,,
hurricane_irma__909484113639305216__909484113639305216_0,benign_text,,,,,,,,,,,
hurricane_irma__909484113639305216__909484113639305216_0,benign_joint,,,,,,,,,,,
hurricane_irma__909484113639305216__909484113639305216_0,direct_image,,,,,,,,,,,
hurricane_irma__909484113639305216__909484113639305216_0,direct_text,,,,,,,,,,,
hurricane_irma__909484113639305216__909484113639305216_0,direct_joint,,,,,,,,,,,
hurricane_irma__909484113639305216__909484113639305216_0,misleading_image,,,,,,,,,,,
hurricane_irma__909484113639305216__909484113639305216_0,misleading_text,,,,,,,,,,,
hurricane_irma__909484113639305216__909484113639305216_0,misleading_joint,,,,,,,,,,,
california_wildfires__919562679404003328__919562679404003328_2,clean,,,,,,,,,,,
california_wildfires__919562679404003328__919562679404003328_2,benign_image,,,,,,,,,,,
california_wildfires__919562679404003328__919562679404003328_2,benign_text,,,,,,,,,,,
california_wildfires__919562679404003328__919562679404003328_2,benign_joint,,,,,,,,,,,
california_wildfires__919562679404003328__919562679404003328_2,direct_image,,,,,,,,,,,
california_wildfires__919562679404003328__919562679404003328_2,direct_text,,,,,,,,,,,
california_wildfires__919562679404003328__919562679404003328_2,direct_joint,,,,,,,,,,,
california_wildfires__919562679404003328__919562679404003328_2,misleading_image,,,,,,,,,,,
california_wildfires__919562679404003328__919562679404003328_2,misleading_text,,,,,,,,,,,
california_wildfires__919562679404003328__919562679404003328_2,misleading_joint,,,,,,,,,,,
hurricane_harvey__906199066966667264__906199066966667264_0,clean,,,,,,,,,,,
hurricane_harvey__906199066966667264__906199066966667264_0,benign_image,,,,,,,,,,,
hurricane_harvey__906199066966667264__906199066966667264_0,benign_text,,,,,,,,,,,
hurricane_harvey__906199066966667264__906199066966667264_0,benign_joint,,,,,,,,,,,
hurricane_harvey__906199066966667264__906199066966667264_0,direct_image,,,,,,,,,,,
hurricane_harvey__906199066966667264__906199066966667264_0,direct_text,,,,,,,,,,,
hurricane_harvey__906199066966667264__906199066966667264_0,direct_joint,,,,,,,,,,,
hurricane_harvey__906199066966667264__906199066966667264_0,misleading_image,,,,,,,,,,,
hurricane_harvey__906199066966667264__906199066966667264_0,misleading_text,,,,,,,,,,,
hurricane_harvey__906199066966667264__906199066966667264_0,misleading_joint,,,,,,,,,,,
hurricane_irma__909455492438564864__909455492438564864_0,clean,,,,,,,,,,,
hurricane_irma__909455492438564864__909455492438564864_0,benign_image,,,,,,,,,,,
hurricane_irma__909455492438564864__909455492438564864_0,benign_text,,,,,,,,,,,
hurricane_irma__909455492438564864__909455492438564864_0,benign_joint,,,,,,,,,,,
hurricane_irma__909455492438564864__909455492438564864_0,direct_image,,,,,,,,,,,
hurricane_irma__909455492438564864__909455492438564864_0,direct_text,,,,,,,,,,,
hurricane_irma__909455492438564864__909455492438564864_0,direct_joint,,,,,,,,,,,
hurricane_irma__909455492438564864__909455492438564864_0,misleading_image,,,,,,,,,,,
hurricane_irma__909455492438564864__909455492438564864_0,misleading_text,,,,,,,,,,,
hurricane_irma__909455492438564864__909455492438564864_0,misleading_joint,,,,,,,,,,,
hurricane_irma__909916209235222529__909916209235222529_0,clean,,,,,,,,,,,
hurricane_irma__909916209235222529__909916209235222529_0,benign_image,,,,,,,,,,,
hurricane_irma__909916209235222529__909916209235222529_0,benign_text,,,,,,,,,,,
hurricane_irma__909916209235222529__909916209235222529_0,benign_joint,,,,,,,,,,,
hurricane_irma__909916209235222529__909916209235222529_0,direct_image,,,,,,,,,,,
hurricane_irma__909916209235222529__909916209235222529_0,direct_text,,,,,,,,,,,
hurricane_irma__909916209235222529__909916209235222529_0,direct_joint,,,,,,,,,,,
hurricane_irma__909916209235222529__909916209235222529_0,misleading_image,,,,,,,,,,,
hurricane_irma__909916209235222529__909916209235222529_0,misleading_text,,,,,,,,,,,
hurricane_irma__909916209235222529__909916209235222529_0,misleading_joint,,,,,,,,,,,
hurricane_harvey__907737364750929920__907737364750929920_0,clean,,,,,,,,,,,
hurricane_harvey__907737364750929920__907737364750929920_0,benign_image,,,,,,,,,,,
hurricane_harvey__907737364750929920__907737364750929920_0,benign_text,,,,,,,,,,,
hurricane_harvey__907737364750929920__907737364750929920_0,benign_joint,,,,,,,,,,,
hurricane_harvey__907737364750929920__907737364750929920_0,direct_image,,,,,,,,,,,
hurricane_harvey__907737364750929920__907737364750929920_0,direct_text,,,,,,,,,,,
hurricane_harvey__907737364750929920__907737364750929920_0,direct_joint,,,,,,,,,,,
hurricane_harvey__907737364750929920__907737364750929920_0,misleading_image,,,,,,,,,,,
hurricane_harvey__907737364750929920__907737364750929920_0,misleading_text,,,,,,,,,,,
hurricane_harvey__907737364750929920__907737364750929920_0,misleading_joint,,,,,,,,,,,
hurricane_harvey__904472503850082305__904472503850082305_0,clean,,,,,,,,,,,
hurricane_harvey__904472503850082305__904472503850082305_0,benign_image,,,,,,,,,,,
hurricane_harvey__904472503850082305__904472503850082305_0,benign_text,,,,,,,,,,,
hurricane_harvey__904472503850082305__904472503850082305_0,benign_joint,,,,,,,,,,,
hurricane_harvey__904472503850082305__904472503850082305_0,direct_image,,,,,,,,,,,
hurricane_harvey__904472503850082305__904472503850082305_0,direct_text,,,,,,,,,,,
hurricane_harvey__904472503850082305__904472503850082305_0,direct_joint,,,,,,,,,,,
hurricane_harvey__904472503850082305__904472503850082305_0,misleading_image,,,,,,,,,,,
hurricane_harvey__904472503850082305__904472503850082305_0,misleading_text,,,,,,,,,,,
hurricane_harvey__904472503850082305__904472503850082305_0,misleading_joint,,,,,,,,,,,
hurricane_maria__911907090112798720__911907090112798720_0,clean,,,,,,,,,,,
hurricane_maria__911907090112798720__911907090112798720_0,benign_image,,,,,,,,,,,
hurricane_maria__911907090112798720__911907090112798720_0,benign_text,,,,,,,,,,,
hurricane_maria__911907090112798720__911907090112798720_0,benign_joint,,,,,,,,,,,
hurricane_maria__911907090112798720__911907090112798720_0,direct_image,,,,,,,,,,,
hurricane_maria__911907090112798720__911907090112798720_0,direct_text,,,,,,,,,,,
hurricane_maria__911907090112798720__911907090112798720_0,direct_joint,,,,,,,,,,,
hurricane_maria__911907090112798720__911907090112798720_0,misleading_image,,,,,,,,,,,
hurricane_maria__911907090112798720__911907090112798720_0,misleading_text,,,,,,,,,,,
hurricane_maria__911907090112798720__911907090112798720_0,misleading_joint,,,,,,,,,,,
california_wildfires__920049674462969862__920049674462969862_0,clean,,,,,,,,,,,
california_wildfires__920049674462969862__920049674462969862_0,benign_image,,,,,,,,,,,
california_wildfires__920049674462969862__920049674462969862_0,benign_text,,,,,,,,,,,
california_wildfires__920049674462969862__920049674462969862_0,benign_joint,,,,,,,,,,,
california_wildfires__920049674462969862__920049674462969862_0,direct_image,,,,,,,,,,,
california_wildfires__920049674462969862__920049674462969862_0,direct_text,,,,,,,,,,,
california_wildfires__920049674462969862__920049674462969862_0,direct_joint,,,,,,,,,,,
california_wildfires__920049674462969862__920049674462969862_0,misleading_image,,,,,,,,,,,
california_wildfires__920049674462969862__920049674462969862_0,misleading_text,,,,,,,,,,,
california_wildfires__920049674462969862__920049674462969862_0,misleading_joint,,,,,,,,,,,
hurricane_irma__909904851248799744__909904851248799744_0,clean,,,,,,,,,,,
hurricane_irma__909904851248799744__909904851248799744_0,benign_image,,,,,,,,,,,
hurricane_irma__909904851248799744__909904851248799744_0,benign_text,,,,,,,,,,,
hurricane_irma__909904851248799744__909904851248799744_0,benign_joint,,,,,,,,,,,
hurricane_irma__909904851248799744__909904851248799744_0,direct_image,,,,,,,,,,,
hurricane_irma__909904851248799744__909904851248799744_0,direct_text,,,,,,,,,,,
hurricane_irma__909904851248799744__909904851248799744_0,direct_joint,,,,,,,,,,,
hurricane_irma__909904851248799744__909904851248799744_0,misleading_image,,,,,,,,,,,
hurricane_irma__909904851248799744__909904851248799744_0,misleading_text,,,,,,,,,,,
hurricane_irma__909904851248799744__909904851248799744_0,misleading_joint,,,,,,,,,,,
hurricane_irma__909850724137410560__909850724137410560_0,clean,,,,,,,,,,,
hurricane_irma__909850724137410560__909850724137410560_0,benign_image,,,,,,,,,,,
hurricane_irma__909850724137410560__909850724137410560_0,benign_text,,,,,,,,,,,
hurricane_irma__909850724137410560__909850724137410560_0,benign_joint,,,,,,,,,,,
hurricane_irma__909850724137410560__909850724137410560_0,direct_image,,,,,,,,,,,
hurricane_irma__909850724137410560__909850724137410560_0,direct_text,,,,,,,,,,,
hurricane_irma__909850724137410560__909850724137410560_0,direct_joint,,,,,,,,,,,
hurricane_irma__909850724137410560__909850724137410560_0,misleading_image,,,,,,,,,,,
hurricane_irma__909850724137410560__909850724137410560_0,misleading_text,,,,,,,,,,,
hurricane_irma__909850724137410560__909850724137410560_0,misleading_joint,,,,,,,,,,,
hurricane_irma__909880224631857152__909880224631857152_0,clean,,,,,,,,,,,
hurricane_irma__909880224631857152__909880224631857152_0,benign_image,,,,,,,,,,,
hurricane_irma__909880224631857152__909880224631857152_0,benign_text,,,,,,,,,,,
hurricane_irma__909880224631857152__909880224631857152_0,benign_joint,,,,,,,,,,,
hurricane_irma__909880224631857152__909880224631857152_0,direct_image,,,,,,,,,,,
hurricane_irma__909880224631857152__909880224631857152_0,direct_text,,,,,,,,,,,
hurricane_irma__909880224631857152__909880224631857152_0,direct_joint,,,,,,,,,,,
hurricane_irma__909880224631857152__909880224631857152_0,misleading_image,,,,,,,,,,,
hurricane_irma__909880224631857152__909880224631857152_0,misleading_text,,,,,,,,,,,
hurricane_irma__909880224631857152__909880224631857152_0,misleading_joint,,,,,,,,,,,
hurricane_maria__914540213875200000__914540213875200000_3,clean,,,,,,,,,,,
hurricane_maria__914540213875200000__914540213875200000_3,benign_image,,,,,,,,,,,
hurricane_maria__914540213875200000__914540213875200000_3,benign_text,,,,,,,,,,,
hurricane_maria__914540213875200000__914540213875200000_3,benign_joint,,,,,,,,,,,
hurricane_maria__914540213875200000__914540213875200000_3,direct_image,,,,,,,,,,,
hurricane_maria__914540213875200000__914540213875200000_3,direct_text,,,,,,,,,,,
hurricane_maria__914540213875200000__914540213875200000_3,direct_joint,,,,,,,,,,,
hurricane_maria__914540213875200000__914540213875200000_3,misleading_image,,,,,,,,,,,
hurricane_maria__914540213875200000__914540213875200000_3,misleading_text,,,,,,,,,,,
hurricane_maria__914540213875200000__914540213875200000_3,misleading_joint,,,,,,,,,,,
hurricane_harvey__904972350294171650__904972350294171650_0,clean,,,,,,,,,,,
hurricane_harvey__904972350294171650__904972350294171650_0,benign_image,,,,,,,,,,,
hurricane_harvey__904972350294171650__904972350294171650_0,benign_text,,,,,,,,,,,
hurricane_harvey__904972350294171650__904972350294171650_0,benign_joint,,,,,,,,,,,
hurricane_harvey__904972350294171650__904972350294171650_0,direct_image,,,,,,,,,,,
hurricane_harvey__904972350294171650__904972350294171650_0,direct_text,,,,,,,,,,,
hurricane_harvey__904972350294171650__904972350294171650_0,direct_joint,,,,,,,,,,,
hurricane_harvey__904972350294171650__904972350294171650_0,misleading_image,,,,,,,,,,,
hurricane_harvey__904972350294171650__904972350294171650_0,misleading_text,,,,,,,,,,,
hurricane_harvey__904972350294171650__904972350294171650_0,misleading_joint,,,,,,,,,,,
hurricane_irma__910184448469164032__910184448469164032_0,clean,,,,,,,,,,,
hurricane_irma__910184448469164032__910184448469164032_0,benign_image,,,,,,,,,,,
hurricane_irma__910184448469164032__910184448469164032_0,benign_text,,,,,,,,,,,
hurricane_irma__910184448469164032__910184448469164032_0,benign_joint,,,,,,,,,,,
hurricane_irma__910184448469164032__910184448469164032_0,direct_image,,,,,,,,,,,
hurricane_irma__910184448469164032__910184448469164032_0,direct_text,,,,,,,,,,,
hurricane_irma__910184448469164032__910184448469164032_0,direct_joint,,,,,,,,,,,
hurricane_irma__910184448469164032__910184448469164032_0,misleading_image,,,,,,,,,,,
hurricane_irma__910184448469164032__910184448469164032_0,misleading_text,,,,,,,,,,,
hurricane_irma__910184448469164032__910184448469164032_0,misleading_joint,,,,,,,,,,,
hurricane_irma__909438308253601795__909438308253601795_0,clean,,,,,,,,,,,
hurricane_irma__909438308253601795__909438308253601795_0,benign_image,,,,,,,,,,,
hurricane_irma__909438308253601795__909438308253601795_0,benign_text,,,,,,,,,,,
hurricane_irma__909438308253601795__909438308253601795_0,benign_joint,,,,,,,,,,,
hurricane_irma__909438308253601795__909438308253601795_0,direct_image,,,,,,,,,,,
hurricane_irma__909438308253601795__909438308253601795_0,direct_text,,,,,,,,,,,
hurricane_irma__909438308253601795__909438308253601795_0,direct_joint,,,,,,,,,,,
hurricane_irma__909438308253601795__909438308253601795_0,misleading_image,,,,,,,,,,,
hurricane_irma__909438308253601795__909438308253601795_0,misleading_text,,,,,,,,,,,
hurricane_irma__909438308253601795__909438308253601795_0,misleading_joint,,,,,,,,,,,
hurricane_irma__909722974218895360__909722974218895360_0,clean,,,,,,,,,,,
hurricane_irma__909722974218895360__909722974218895360_0,benign_image,,,,,,,,,,,
hurricane_irma__909722974218895360__909722974218895360_0,benign_text,,,,,,,,,,,
hurricane_irma__909722974218895360__909722974218895360_0,benign_joint,,,,,,,,,,,
hurricane_irma__909722974218895360__909722974218895360_0,direct_image,,,,,,,,,,,
hurricane_irma__909722974218895360__909722974218895360_0,direct_text,,,,,,,,,,,
hurricane_irma__909722974218895360__909722974218895360_0,direct_joint,,,,,,,,,,,
hurricane_irma__909722974218895360__909722974218895360_0,misleading_image,,,,,,,,,,,
hurricane_irma__909722974218895360__909722974218895360_0,misleading_text,,,,,,,,,,,
hurricane_irma__909722974218895360__909722974218895360_0,misleading_joint,,,,,,,,,,,
hurricane_harvey__907433474025455617__907433474025455617_0,clean,,,,,,,,,,,
hurricane_harvey__907433474025455617__907433474025455617_0,benign_image,,,,,,,,,,,
hurricane_harvey__907433474025455617__907433474025455617_0,benign_text,,,,,,,,,,,
hurricane_harvey__907433474025455617__907433474025455617_0,benign_joint,,,,,,,,,,,
hurricane_harvey__907433474025455617__907433474025455617_0,direct_image,,,,,,,,,,,
hurricane_harvey__907433474025455617__907433474025455617_0,direct_text,,,,,,,,,,,
hurricane_harvey__907433474025455617__907433474025455617_0,direct_joint,,,,,,,,,,,
hurricane_harvey__907433474025455617__907433474025455617_0,misleading_image,,,,,,,,,,,
hurricane_harvey__907433474025455617__907433474025455617_0,misleading_text,,,,,,,,,,,
